date,home_team,away_team,winner
1987/12/18,Equatorial Guinea,Gabon,Gabon
1987/12/27,Ethiopia,Zimbabwe,Ethiopia
1988/1/6,South Korea,Egypt,South Korea
1988/3/23,Algeria,Nigeria,Nigeria
1988/3/26,Morocco,Algeria,Algeria
1988/3/31,Germany,Sweden,Sweden
1988/5/5,Mali,Senegal,Mali
1988/5/8,Guinea,Mali,Guinea
1988/5/28,Canada,Greece,Canada
1988/7/19,Egypt,Syria,Syria
1988/7/21,Iraq,Syria,Iraq
1988/9/29,Chile,Ecuador,Ecuador
1988/10/16,Eswatini,Tanzania,Eswatini
1988/12/6,Central African Republic,Gabon,Gabon
1988/12/17,China PR,Iran,Iran
1988/12/18,South Korea,Saudi Arabia,Saudi Arabia
1989/4/23,Ghana,Gabon,Gabon
1989/4/23,Kenya,Sudan,Kenya
1989/11/8,Iran,Uganda,Uganda
1989/11/12,Iraq,Uganda,Iraq
1989/12/11,Chad,Cameroon,Cameroon
1989/12/16,Malawi,Uganda,Uganda
1990/1/28,Nigeria,Senegal,Nigeria
1990/2/4,United States,Colombia,Colombia
1990/2/20,Colombia,Russia,Colombia
1990/5/18,Zimbabwe,Eswatini,Zimbabwe
1990/6/25,Republic of Ireland,Romania,Republic of Ireland
1990/6/30,Yugoslavia,Argentina,Argentina
1990/7/3,Italy,Argentina,Argentina
1990/7/4,Germany,England,Germany
1990/8/3,China PR,South Korea,South Korea
1990/12/17,Tanzania,Uganda,Uganda
1990/12/17,Central African Republic,Equatorial Guinea,Central African Republic
1991/1/21,Cameroon,Algeria,Cameroon
1991/1/21,Senegal,Ivory Coast,Ivory Coast
1991/1/22,Senegal,Algeria,Senegal
1991/1/23,Ivory Coast,Cameroon,Ivory Coast
1991/6/14,South Korea,Australia,South Korea
1991/6/16,Italy,Russia,Italy
1991/7/7,United States,Honduras,United States
1991/8/8,Czechoslovakia,Yugoslavia,Czechoslovakia
1991/9/20,Fiji,Solomon Islands,Fiji
1991/9/28,Egypt,Mali,Egypt
1992/1/23,Cameroon,Ivory Coast,Ivory Coast
1992/1/26,Ghana,Ivory Coast,Ivory Coast
1992/6/22,Netherlands,Denmark,Denmark
1992/6/27,Cuba,Martinique,Martinique
1992/8/29,Japan,South Korea,Japan
1992/9/15,Syria,Egypt,Egypt
1992/11/8,China PR,United Arab Emirates,China PR
1992/11/25,Uganda,Zambia,Uganda
1993/1/23,Japan,Switzerland,Switzerland
1993/2/20,Finland,Estonia,Finland
1993/2/24,Argentina,Denmark,Argentina
1993/5/27,Bolivia,Paraguay,Bolivia
1993/5/28,Martinique,Saint Kitts and Nevis,Martinique
1993/5/30,Jamaica,Martinique,Martinique
1993/6/26,Colombia,Uruguay,Colombia
1993/6/27,Brazil,Argentina,Argentina
1993/7/1,Colombia,Argentina,Argentina
1993/8/15,Australia,Canada,Australia
1993/10/24,Burundi,Guinea,Guinea
1994/1/29,Burkina Faso,Guinea,Burkina Faso
1994/4/6,Nigeria,Ivory Coast,Nigeria
1994/7/5,Mexico,Bulgaria,Bulgaria
1994/7/10,Romania,Sweden,Sweden
1994/7/17,Brazil,Italy,Brazil
1994/12/8,Tanzania,Uganda,Tanzania
1995/1/10,Denmark,Mexico,Denmark
1995/1/13,Mexico,Nigeria,Mexico
1995/2/26,Japan,South Korea,Japan
1995/3/31,India,Bangladesh,India
1995/5/21,Antigua and Barbuda,Saint Kitts and Nevis,Antigua and Barbuda
1995/6/9,Paraguay,Bolivia,Paraguay
1995/7/16,Paraguay,Colombia,Colombia
1995/7/17,United States,Mexico,United States
1995/7/17,Brazil,Argentina,Brazil
1995/7/23,Uruguay,Brazil,Uruguay
1995/8/24,Fiji,Solomon Islands,Solomon Islands
1995/11/28,Mauritania,Sierra Leone,Sierra Leone
1995/12/2,Gabon,Cameroon,Cameroon
1995/12/2,Algeria,Ivory Coast,Ivory Coast
1995/12/6,Ethiopia,Zanzibar,Zanzibar
1995/12/7,Honduras,Costa Rica,Honduras
1996/1/28,Gabon,Tunisia,Tunisia
1996/2/22,Japan,Sweden,Sweden
1996/4/28,Barbados,Jamaica,Jamaica
1996/5/5,Guyana,Suriname,Suriname
